window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives,condition,model_retrained
7,0.7127462608177667,0.21626984126984128,0.33825198637911463,0.8316161616161616,0.3164719723545444,0.3091063952007483,0.10021555158379891,41193,1789,Full System,False
8,0.6203941600091994,0.1038107752956636,0.18302828618968386,0.9603030303030302,0.1668535651827329,0.1329509337069225,0.2824693595441859,43966,1923,Full System,False
9,0.5701054540636012,0.09078842580302628,0.09989829359249633,0.9504040404040404,0.09881896029726844,0.053267070914994025,0.4188455029275128,43487,1876,Full System,False
10,0.5965028569186439,0.08788455292097815,0.10043804755944931,0.9504040404040404,0.13472218288384946,0.051351598395745754,0.3592634687187603,41128,1556,Full System,False
11,0.5597640599803322,0.08149512204678133,0.08228521139672179,0.43565656565656563,0.11080102206344555,0.041244463087604315,0.4186649653912338,42566,1588,Full System,False
12,0.48927856042283235,0.07155935306682942,0.07279607189513042,0.2871717171717172,0.046953694644882416,0.03263565227095597,0.5856635473470166,49820,1796,Full System,False
13,0.5091718257308313,0.06585972660945406,0.06804272450143113,0.23767676767676768,0.06592985517720651,0.03172405169228407,0.52710584574324,48698,1602,Full System,False
14,0.5187512182526168,0.0769940504597372,0.07779588209154199,0.39606060606060606,0.06969886164483952,0.037270041080957175,0.5283929511472546,42160,1584,Full System,False
15,0.479230496455274,0.09247035290755823,0.09247740875484098,0.5544444444444444,0.05144385670113216,0.04042544136404658,0.6220718660392534,41969,1935,Full System,False
16,0.5887425573776556,0.09399929516547592,0.1026665508555546,0.9405050505050505,0.13230968136939303,0.05605850563140878,0.4811106700112661,44653,1902,Full System,False
17,0.5461483946480191,0.07394377257735198,0.07869115728194319,0.9504040404040404,0.06477847316834068,0.04299378567843957,0.5201555443290868,42833,1560,Full System,False
18,0.4583543056389122,0.0653046722330787,0.06905442520038114,0.1386868686868687,0.014802802162179107,0.03001753625296654,0.5292084734869861,37830,1338,Full System,False
19,0.4589781606311505,0.06351955113774115,0.0658474650477219,0.21787878787878787,0.014757993922667412,0.028627732286293027,0.5686174420186242,37121,1250,Full System,False
20,0.5097875725990305,0.06321011851897222,0.06478962353685543,0.9306060606060605,0.03462695141898564,0.03208044146684886,0.6051649643343747,39992,1299,Full System,False
21,0.525372808795256,0.06007770302283711,0.060937334696900235,0.6435353535353535,0.052600395325633875,0.030467915977295024,0.5648552753333124,41254,1225,Full System,False
22,0.5203471307632809,0.06329823686997695,0.0647912885662432,0.8415151515151514,0.04669478864266041,0.0323573498352392,0.5805115308177577,40849,1294,Full System,False
23,0.5322428204287704,0.07359461471245024,0.07406425090342472,0.5346464646464646,0.06677915238266774,0.036559366383315806,0.5464617960328702,40979,1462,Full System,False
7,0.7127462608177667,0.21626984126984128,0.33825198637911463,0.8316161616161616,0.3164719723545444,0.3091063952007483,0.10021555158379891,41193,1789,No Drift Detection,False
8,0.6203941600091994,0.1038107752956636,0.18302828618968386,0.9603030303030302,0.1668535651827329,0.1329509337069225,0.2824693595441859,43966,1923,No Drift Detection,False
9,0.945981069514842,0.7064643799472295,0.7240338164251208,0.30696969696969695,0.7583219496812774,0.7586096875254227,0.017693911691575796,43487,1876,No Drift Detection,True
10,0.910695291157805,0.58911508101371,0.5957767722473605,0.31686868686868686,0.6739845784339736,0.6100841680783804,0.02120147344601243,41128,1556,No Drift Detection,False
11,0.8794981822279031,0.49810366624525915,0.5022276225192386,0.41585858585858587,0.5965605676720556,0.5043159506331629,0.02480427463872517,42566,1588,No Drift Detection,False
12,0.9206884006957176,0.5468135326514555,0.6182902584493042,0.21787878787878787,0.688078891140918,0.6376251767641123,0.019804721294890113,49820,1796,No Drift Detection,True
13,0.8873600966347697,0.42964352720450283,0.48330341113105924,0.1782828282828283,0.6186593770696431,0.501012943601743,0.021864094455542,48698,1602,No Drift Detection,False
14,0.9019328114544498,0.42791127541589646,0.5053064019171517,0.15848484848484848,0.6381813999617628,0.5264440185822693,0.02478685925155658,42160,1584,No Drift Detection,False
15,0.9432889537433232,0.6203641267700607,0.6808035714285714,0.207979797979798,0.7443007939375562,0.7166806590027919,0.0220959106722191,41969,1935,No Drift Detection,True
16,0.9249427043121909,0.6071794871794872,0.6332533013205283,0.2673737373737374,0.7119128518672957,0.6605059004027342,0.021978987547563302,44653,1902,No Drift Detection,False
17,0.9114332288383726,0.5441239776151529,0.5734922354640665,0.25747474747474747,0.6870413047084236,0.5886093513331231,0.021319345905392924,42833,1560,No Drift Detection,False
18,0.9471338559042036,0.588957055214724,0.697389885807504,0.19808080808080808,0.7676109611099724,0.7296754636539946,0.01716314477178083,37830,1338,No Drift Detection,True
19,0.9048477823311311,0.4386792452830189,0.547153024911032,0.18818181818181817,0.6692463103900086,0.5436392336847696,0.02150260963052771,37121,1250,No Drift Detection,False
20,0.9016567258974522,0.4379481522338665,0.48555881121808286,0.19808080808080808,0.6558912146456283,0.5018460470350414,0.021760099073374423,39992,1299,No Drift Detection,False
21,0.9468430387968723,0.6052060737527115,0.66512274201019,0.25747474747474747,0.7654040820405206,0.7003122505305581,0.01458226759091334,41254,1225,No Drift Detection,True
22,0.8967825794576723,0.45379081350304373,0.5151116951379764,0.1782828282828283,0.6241718679818389,0.5014195947180289,0.021005895232372156,40849,1294,No Drift Detection,False
23,0.8877877266072642,0.45880611741489885,0.5272727272727272,0.1782828282828283,0.5974160041322498,0.5121241762554369,0.023384241683589786,40979,1462,No Drift Detection,False
7,0.7127462608177667,0.21626984126984128,0.33825198637911463,0.8316161616161616,0.3164719723545444,0.3091063952007483,0.10021555158379891,41193,1789,No Adaptive Retraining,False
8,0.6203941600091994,0.1038107752956636,0.18302828618968386,0.9603030303030302,0.1668535651827329,0.1329509337069225,0.2824693595441859,43966,1923,No Adaptive Retraining,False
9,0.5701054540636012,0.09078842580302628,0.09989829359249633,0.9504040404040404,0.09881896029726844,0.053267070914994025,0.4188455029275128,43487,1876,No Adaptive Retraining,False
10,0.5965028569186439,0.08788455292097815,0.10043804755944931,0.9504040404040404,0.13472218288384946,0.051351598395745754,0.3592634687187603,41128,1556,No Adaptive Retraining,False
11,0.5597640599803322,0.08149512204678133,0.08228521139672179,0.43565656565656563,0.11080102206344555,0.041244463087604315,0.4186649653912338,42566,1588,No Adaptive Retraining,False
12,0.48927856042283235,0.07155935306682942,0.07279607189513042,0.2871717171717172,0.046953694644882416,0.03263565227095597,0.5856635473470166,49820,1796,No Adaptive Retraining,False
13,0.5091718257308313,0.06585972660945406,0.06804272450143113,0.23767676767676768,0.06592985517720651,0.03172405169228407,0.52710584574324,48698,1602,No Adaptive Retraining,False
14,0.5187512182526168,0.0769940504597372,0.07779588209154199,0.39606060606060606,0.06969886164483952,0.037270041080957175,0.5283929511472546,42160,1584,No Adaptive Retraining,False
15,0.479230496455274,0.09247035290755823,0.09247740875484098,0.5544444444444444,0.05144385670113216,0.04042544136404658,0.6220718660392534,41969,1935,No Adaptive Retraining,False
16,0.5887425573776556,0.09399929516547592,0.1026665508555546,0.9405050505050505,0.13230968136939303,0.05605850563140878,0.4811106700112661,44653,1902,No Adaptive Retraining,False
17,0.5461483946480191,0.07394377257735198,0.07869115728194319,0.9504040404040404,0.06477847316834068,0.04299378567843957,0.5201555443290868,42833,1560,No Adaptive Retraining,False
18,0.4583543056389122,0.0653046722330787,0.06905442520038114,0.1386868686868687,0.014802802162179107,0.03001753625296654,0.5292084734869861,37830,1338,No Adaptive Retraining,False
19,0.4589781606311505,0.06351955113774115,0.0658474650477219,0.21787878787878787,0.014757993922667412,0.028627732286293027,0.5686174420186242,37121,1250,No Adaptive Retraining,False
20,0.5097875725990305,0.06321011851897222,0.06478962353685543,0.9306060606060605,0.03462695141898564,0.03208044146684886,0.6051649643343747,39992,1299,No Adaptive Retraining,False
21,0.525372808795256,0.06007770302283711,0.060937334696900235,0.6435353535353535,0.052600395325633875,0.030467915977295024,0.5648552753333124,41254,1225,No Adaptive Retraining,False
22,0.5203471307632809,0.06329823686997695,0.0647912885662432,0.8415151515151514,0.04669478864266041,0.0323573498352392,0.5805115308177577,40849,1294,No Adaptive Retraining,False
23,0.5322428204287704,0.07359461471245024,0.07406425090342472,0.5346464646464646,0.06677915238266774,0.036559366383315806,0.5464617960328702,40979,1462,No Adaptive Retraining,False
7,0.7127462608177667,0.21626984126984128,0.33825198637911463,0.8316161616161616,0.3164719723545444,0.3091063952007483,0.10021555158379891,41193,1789,Static Baseline,False
8,0.6203941600091994,0.1038107752956636,0.18302828618968386,0.9603030303030302,0.1668535651827329,0.1329509337069225,0.2824693595441859,43966,1923,Static Baseline,False
9,0.5701054540636012,0.09078842580302628,0.09989829359249633,0.9504040404040404,0.09881896029726844,0.053267070914994025,0.4188455029275128,43487,1876,Static Baseline,False
10,0.5965028569186439,0.08788455292097815,0.10043804755944931,0.9504040404040404,0.13472218288384946,0.051351598395745754,0.3592634687187603,41128,1556,Static Baseline,False
11,0.5597640599803322,0.08149512204678133,0.08228521139672179,0.43565656565656563,0.11080102206344555,0.041244463087604315,0.4186649653912338,42566,1588,Static Baseline,False
12,0.48927856042283235,0.07155935306682942,0.07279607189513042,0.2871717171717172,0.046953694644882416,0.03263565227095597,0.5856635473470166,49820,1796,Static Baseline,False
13,0.5091718257308313,0.06585972660945406,0.06804272450143113,0.23767676767676768,0.06592985517720651,0.03172405169228407,0.52710584574324,48698,1602,Static Baseline,False
14,0.5187512182526168,0.0769940504597372,0.07779588209154199,0.39606060606060606,0.06969886164483952,0.037270041080957175,0.5283929511472546,42160,1584,Static Baseline,False
15,0.479230496455274,0.09247035290755823,0.09247740875484098,0.5544444444444444,0.05144385670113216,0.04042544136404658,0.6220718660392534,41969,1935,Static Baseline,False
16,0.5887425573776556,0.09399929516547592,0.1026665508555546,0.9405050505050505,0.13230968136939303,0.05605850563140878,0.4811106700112661,44653,1902,Static Baseline,False
17,0.5461483946480191,0.07394377257735198,0.07869115728194319,0.9504040404040404,0.06477847316834068,0.04299378567843957,0.5201555443290868,42833,1560,Static Baseline,False
18,0.4583543056389122,0.0653046722330787,0.06905442520038114,0.1386868686868687,0.014802802162179107,0.03001753625296654,0.5292084734869861,37830,1338,Static Baseline,False
19,0.4589781606311505,0.06351955113774115,0.0658474650477219,0.21787878787878787,0.014757993922667412,0.028627732286293027,0.5686174420186242,37121,1250,Static Baseline,False
20,0.5097875725990305,0.06321011851897222,0.06478962353685543,0.9306060606060605,0.03462695141898564,0.03208044146684886,0.6051649643343747,39992,1299,Static Baseline,False
21,0.525372808795256,0.06007770302283711,0.060937334696900235,0.6435353535353535,0.052600395325633875,0.030467915977295024,0.5648552753333124,41254,1225,Static Baseline,False
22,0.5203471307632809,0.06329823686997695,0.0647912885662432,0.8415151515151514,0.04669478864266041,0.0323573498352392,0.5805115308177577,40849,1294,Static Baseline,False
23,0.5322428204287704,0.07359461471245024,0.07406425090342472,0.5346464646464646,0.06677915238266774,0.036559366383315806,0.5464617960328702,40979,1462,Static Baseline,False
